horizon,mse,rmse,mae,mape,mdape,smape,coverage
31 days,81.42474467966497,9.023566073325167,7.989371174748882,0.028510486775362193,0.025290178784962855,0.02875282389187699,0.5
61 days,103.14487322007949,10.156026448374359,8.711661679032446,0.03512327048262433,0.025290178784962855,0.03413893692638879,0.5
62 days,228.77251087407788,15.125227630488007,13.417869489760719,0.050600154494570476,0.05624394680885515,0.0489874353432469,0.25
89 days,171.35470549912293,13.090252308459258,10.515562874905818,0.034750709416524306,0.036874035356054394,0.03405153611304687,0.25
90 days,60.238003210855425,7.761314528535448,5.1311806402374245,0.01664117706413493,0.013257472024193423,0.016533865395753182,0.5
120 days,196.43433707869553,14.01550345434282,12.088590044895348,0.044136735450171036,0.049592765882687954,0.045169335704177735,0.25
121 days,190.03239929834012,13.785223948066282,12.106728629412494,0.04432779254873691,0.048649673717579306,0.04537920942012767,0.25
150 days,122.63302516937715,11.073979644616346,9.746510986681194,0.035444465061362264,0.03768045614815509,0.03596824518972791,0.25
151 days,156.2268579705389,12.499074284543592,11.963500692528463,0.03981927143176235,0.037903436315492534,0.04066006376672471,0.25
181 days,414.74096673246993,20.36519007356597,15.58662237168658,0.04623507921488144,0.02915660904200833,0.04815667221976577,0.5
182 days,369.1401039809098,19.213019127167648,13.78946131690008,0.04061760997915334,0.017921670570552134,0.04247989990130552,0.75
211 days,503.3937607007794,22.43643823561974,15.258104242404059,0.04030367002013675,0.017921670570552134,0.042268364441176015,0.75
212 days,597.3245885547576,24.440224805732814,18.203354359162546,0.044529884938043586,0.0263741004063658,0.04663374998557669,0.5
242 days,462.8147104118064,21.513128791782158,16.198549336095653,0.03990195163417152,0.0263741004063658,0.041598634480233446,0.5
243 days,783.761887245319,27.995747663624186,22.306579147621704,0.051090469758358556,0.048751136654739874,0.0533312687152006,0.25
273 days,652.4481174683801,25.543063979647783,21.37367587822699,0.052311607536752736,0.048751136654739874,0.05409069823487224,0.0
274 days,284.53667577313,16.868214955149522,13.19895040637995,0.03862582435456676,0.02975761323050018,0.039829276775018393,0.25
303 days,299.6124253188088,17.309316142436384,13.222266287549047,0.04219558419752187,0.028396812958982137,0.04386641875391973,0.5
304 days,304.9065008671546,17.461572119003336,14.132989282053046,0.046345549694302095,0.0307451266561518,0.04802936575106933,0.5
334 days,245.67349804245117,15.673975183164327,14.256779638015239,0.05420144056165171,0.05180518969650868,0.05518554755826133,0.25
335 days,335.7003903871583,18.322128434959687,16.204950850740424,0.06139615304755496,0.06616434164310203,0.06280995623366552,0.25
364 days,538.1430364153276,23.197910173447255,20.644518724817438,0.07463886056837579,0.08050801782642941,0.07626313541272742,0.25
365 days,606.7084823639424,24.631453111092377,23.599167659013183,0.08105044048164801,0.07767918358671727,0.08232683544790895,0.0
